,Area,YearBuilt,Rooms,Location,Price,Floor,BuildingAge
0,87,1400,2, مرزداران,13920000000,7,2
1,98,1397,2, کوی فردوس,10600000000,5,5
2,60,1396,1, ابراهیم‌آباد,1560000000,1,6
3,87,1394,2, سازمان برنامه,9500000000,3,8
4,170,1375,3, فرمانیه,34000000000,2,27
5,61,1395,2, اندیشه (شهر زیبا),2650000000,0,7
6,105,1401,2, هروی,14000000000,7,1
7,90,1387,2, پونک,10750000000,1,15
8,67,1383,2, جنت‌آباد جنوبی,6666000000,0,19
9,91,1384,2, شهرک نفت (منطقه ۵),9100000000,0,18
10,88,1380,2, سازمان برنامه,9590000000,2,22
11,260,1395,4, قیطریه,30000000000,2,7
12,110,1389,2, سعادت‌آباد,16000000000,4,13
13,160,1395,3, شهرک راه‌آهن,14000000000,1,7
14,85,1401,2, نیاوران,22600000000,9,1
15,102,1387,2, قیطریه,13200000000,5,15
16,128,1401,2, پاسداران,15360000000,8,1
17,122,1390,3, سازمان برنامه,12000000000,3,12
18,80,1396,2, ایران,6280000000,0,6
19,73,1401,1, دریاچه شهدای خلیج فارس,6000000000,5,1
20,182,1385,3, قیطریه,18600000000,4,17
21,96,1392,2, قلهک,12800000000,2,10
22,102,1402,2, وردآورد,918000000,10,0
23,94,1396,2, پونک,10000000000,5,6
24,112,1402,2, شهرک راه‌آهن,11000000000,3,0
25,150,1401,3, قبا,24750000000,2,1
26,46,1399,1, مخصوص,2500000000,0,3
27,550,1399,4, زعفرانیه,165000000000,3,3
28,118,1402,2, شهرک راه‌آهن,1950000000,9,0
29,72,1395,1, خانی‌آباد,2600000000,0,7
30,117,1402,2, پاسداران,15000000000,2,0
31,54,1398,1, استاد معین,3600000000,1,4
32,250,1401,3, ولنجک,75000000000,6,1
33,120,1371,2, دهکده المپیک,8200000000,2,31
34,55,1402,1, باغ فیض,7700000000,2,0
35,66,1394,2, چیتگر,2900000000,2,8
36,95,1380,2, پلیس,5900000000,4,22
37,100,1385,2, شهرک راه‌آهن,8200000000,2,17
38,58,1385,2, دولت‌آباد,1990000000,4,17
39,70,1393,2, ارم,7750000000,5,9
40,45,1381,1, سلسبیل,2650000000,2,21
41,100,1401,2, چیتگر,1900000000,19,1
42,120,1398,2, آبشار تهران,8400000000,10,4
43,74,1402,1, پونک,7400000000,8,0
44,280,1392,3, امامزاده قاسم,47000000000,0,10
45,86,1399,2, استاد معین,7000000000,4,3
46,115,1401,2, شهرک نفت (منطقه ۵),14900000000,0,1
47,100,1401,2, چیتگر,1750000000,20,1
48,164,1386,3, سعادت‌آباد,22000000000,3,16
49,114,1383,2, سعادت‌آباد,12300000000,1,19
50,60,1401,1, گیشا (کوی نصر),12000000000,4,1
51,146,1390,3, شهران جنوبی,16500000000,5,12
52,103,1401,2, حسین‌آباد,12890000000,4,1
53,132,1401,3, چیتگر,14500000000,16,1
54,115,1396,2, سعادت‌آباد,28250000000,4,6
55,95,1399,2, شوش,3600000000,0,3
56,140,1401,3, گیشا (کوی نصر),22500000000,3,1
57,47,1380,1, سلسبیل,2400000000,3,22
58,270,1395,4, فرمانیه,40000000000,5,7
59,146,1370,3, اکباتان,13500000000,30,32
60,84,1401,2, استاد معین,5200000000,2,1
61,135,1402,3, چیتگر,5670000000,30,0
62,53,1382,1, جیحون,2745000000,1,20
63,330,1401,4, اقدسیه,65000000000,2,1
64,90,1398,2, پونک,9540000000,3,4
65,120,1384,3, پاسداران,15000000000,3,18
66,62,1392,1, شهرک آزادی,4650000000,1,10
67,58,1390,1, اسکندری,3200000000,0,12
68,55,1395,1, سلیمانی,3050000000,3,7
69,60,1398,1, سعادت‌آباد,11900000000,1,4
70,156,1402,3, کوی فردوس,17000000000,3,0
71,75,1402,2, استاد معین,5350000000,2,0
72,63,1377,1, جیحون,3500000000,0,25
73,70,1375,2, سبلان,2690000000,0,27
74,60,1386,1, هاشمی,3950000000,1,16
75,122,1400,2, ازگل,12500000000,0,2
76,98,1399,2, جنت‌آباد مرکزی,12100000000,5,3
77,126,1401,2, دریاچه شهدای خلیج فارس,9120000000,0,1
78,154,1402,3, چیتگر,9000000000,18,0
79,103,1396,2, وردآورد,5800000000,1,6
80,45,1398,1, اندیشه (شهر زیبا),2400000000,2,4
81,70,1391,2, جنت‌آباد جنوبی,6700000000,3,11
82,51,1390,1, شهرک دریا,3820000000,0,12
83,150,1375,3, یوسف‌آباد,16700000000,4,27
84,34,1382,1, نازی‌آباد,2450000000,0,20
85,65,1383,1, افسریه,3550000000,0,19
86,119,1401,2, پاسداران,14500000000,8,1
87,72,1391,2, مسعودیه,3250000000,3,11
88,148,1401,3, مرزداران,17500000000,5,1
89,52,1402,1, استاد معین,4200000000,4,0
90,56,1386,2, سازمان برنامه,5750000000,1,16
91,125,1400,3, مرزداران,17500000000,5,2
92,67,1382,2, فردوسی,4700000000,3,20
93,175,1395,3, هروی,19250000000,2,7
94,56,1394,1, یافت‌آباد,1840000000,0,8
95,49,1400,1, بریانک,3200000000,0,2
96,115,1387,2, زعفرانیه,24000000000,4,15
97,166,1395,3, هروی,20000000000,2,7
98,142,1386,3, هروی,16800000000,1,16
99,230,1402,3, دروس,68000000000,4,0
100,72,1394,2, نیاوران,8300000000,1,8
101,57,1385,1, افسریه,2930000000,0,17
102,140,1391,3, حکیمیه,9700000000,5,11
103,420,1393,4, فرمانیه,105000000000,9,9
104,65,1388,1, شهرک راه‌آهن,6030000000,3,14
105,70,1389,2, دهکده المپیک,4960000000,2,13
106,85,1395,2, گیشا (کوی نصر),11900000000,0,7
107,177,1385,3, شهر زیبا,13500000000,1,17
108,110,1402,2, آجودانیه,15400000000,9,0
109,70,1395,2, شهرک کیانشهر,3500000000,3,7
110,110,1394,2, شهرک راه‌آهن,7100000000,1,8
111,50,1394,1, شهرک کیانشهر,2390000000,3,8
112,83,1401,2, شهرک کیانشهر,4199000000,3,1
113,60,1395,1, شهرک کیانشهر,2900000000,2,7
114,61,1393,1, شهرک کیانشهر,2740000000,5,9
115,77,1372,2, شهرک کیانشهر,2699000000,4,30
116,138,1399,2, دریاچه شهدای خلیج فارس,6500000000,12,3
117,132,1401,3, پاسداران,18500000000,5,1
118,144,1400,3, ظفر,21500000000,3,2
119,49,1383,1, آهنگ,3200000000,0,19
120,76,1387,2, پونک,7400000000,5,15
121,110,1401,2, ستارخان,9300000000,5,1
