,Area,YearBuilt,Rooms,Location,Price,Floor
0,۸۷,۱۴۰۰,۲, مرزداران,۱۳۹۲۰۰۰۰۰۰۰,۷ 
1,۹۸,۱۳۹۷,۲, کوی فردوس,۱۰۶۰۰۰۰۰۰۰۰,۵
2,۶۰,۱۳۹۶,۱, ابراهیم‌آباد,۱۵۶۰۰۰۰۰۰۰,۱ 
3,۸۷,۱۳۹۴,۲, سازمان برنامه,۹۵۰۰۰۰۰۰۰۰,۳
4,۱۷۰,۱۳۷۵,۳, فرمانیه,۳۴۰۰۰۰۰۰۰۰۰,۲
5,۶۱,۱۳۹۵,۲, اندیشه (شهر زیبا),۲۶۵۰۰۰۰۰۰۰,0
6,۱۰۵,۱۴۰۱,۲, هروی,۱۴۰۰۰۰۰۰۰۰۰,۷ 
7,۹۰,۱۳۸۷,۲, پونک,۱۰۷۵۰۰۰۰۰۰۰,۱ 
8,۶۷,۱۳۸۳,۲, جنت‌آباد جنوبی,۶۶۶۶۰۰۰۰۰۰,0
9,۹۱,۱۳۸۴,۲, شهرک نفت (منطقه ۵),۹۱۰۰۰۰۰۰۰۰,0
10,۸۸,۱۳۸۰,۲, سازمان برنامه,۹۵۹۰۰۰۰۰۰۰,۲ 
11,۲۶۰,۱۳۹۵,۴, قیطریه,۳۰۰۰۰۰۰۰۰۰۰,۲
12,۱۱۰,۱۳۸۹,۲, سعادت‌آباد,۱۶۰۰۰۰۰۰۰۰۰,۴ 
13,۱۶۰,۱۳۹۵,۳, شهرک راه‌آهن,۱۴۰۰۰۰۰۰۰۰۰,۱
14,۸۵,۱۴۰۱,۲, نیاوران,۲۲۶۰۰۰۰۰۰۰۰,۹
15,۱۰۲,۱۳۸۷,۲, قیطریه,۱۳۲۰۰۰۰۰۰۰۰,۵
16,۱۲۸,۱۴۰۱,۲, پاسداران,۱۵۳۶۰۰۰۰۰۰۰,۸ 
17,۱۲۲,۱۳۹۰,۳, سازمان برنامه,۱۲۰۰۰۰۰۰۰۰۰,۳ 
18,۸۰,۱۳۹۶,۲, ایران,۶۲۸۰۰۰۰۰۰۰,0
19,۷۳,۱۴۰۱,۱, دریاچه شهدای خلیج فارس,۶۰۰۰۰۰۰۰۰۰,۵
20,۱۸۲,۱۳۸۵,۳, قیطریه,۱۸۶۰۰۰۰۰۰۰۰,۴
21,۹۶,۱۳۹۲,۲, قلهک,۱۲۸۰۰۰۰۰۰۰۰,۲
22,۱۰۲,۱۴۰۲,۲, وردآورد,۹۱۸۰۰۰۰۰۰,۱۰ 
23,۹۴,۱۳۹۶,۲, پونک,۱۰۰۰۰۰۰۰۰۰۰,۵
24,۱۱۲,۱۴۰۲,۲, شهرک راه‌آهن,۱۱۰۰۰۰۰۰۰۰۰,۳
25,۱۵۰,۱۴۰۱,۳, قبا,۲۴۷۵۰۰۰۰۰۰۰,۲
26,۴۶,۱۳۹۹,۱, مخصوص,۲۵۰۰۰۰۰۰۰۰,0
27,۵۵۰,۱۳۹۹,4, زعفرانیه,۱۶۵۰۰۰۰۰۰۰۰۰,۳ 
28,۱۱۸,۱۴۰۲,۲, شهرک راه‌آهن,۱۹۵۰۰۰۰۰۰۰,۹ 
29,۷۲,۱۳۹۵,۱, خانی‌آباد,۲۶۰۰۰۰۰۰۰۰,0
30,۱۱۷,۱۴۰۲,۲, پاسداران,۱۵۰۰۰۰۰۰۰۰۰,۲
31,۵۴,۱۳۹۸,۱, استاد معین,۳۶۰۰۰۰۰۰۰۰,۱ 
32,۲۵۰,۱۴۰۱,۳, ولنجک,۷۵۰۰۰۰۰۰۰۰۰,۶ 
33,۱۲۰,۱۳۷۱,۲, دهکده المپیک,۸۲۰۰۰۰۰۰۰۰,۲
34,۵۵,۱۴۰۲,۱, باغ فیض,۷۷۰۰۰۰۰۰۰۰,۲
35,۶۶,۱۳۹۴,۲, چیتگر,۲۹۰۰۰۰۰۰۰۰,۲
36,۹۵,۱۳۸۰,۲, پلیس,۵۹۰۰۰۰۰۰۰۰,۴ 
37,۱۰۰,۱۳۸۵,۲, شهرک راه‌آهن,۸۲۰۰۰۰۰۰۰۰,۲
38,۵۸,۱۳۸۵,۲, دولت‌آباد,۱۹۹۰۰۰۰۰۰۰,۴
39,۷۰,۱۳۹۳,۲, ارم,۷۷۵۰۰۰۰۰۰۰,۵
40,۴۵,۱۳۸۱,۱, سلسبیل,۲۶۵۰۰۰۰۰۰۰,۲ 
41,۱۰۰,۱۴۰۱,۲, چیتگر,۱۹۰۰۰۰۰۰۰۰,۱۹
42,۱۲۰,۱۳۹۸,۲, آبشار تهران,۸۴۰۰۰۰۰۰۰۰,۱۰
43,۷۴,۱۴۰۲,۱, پونک,۷۴۰۰۰۰۰۰۰۰,۸
44,۲۸۰,۱۳۹۲,۳, امامزاده قاسم,۴۷۰۰۰۰۰۰۰۰۰,0
45,۸۶,۱۳۹۹,۲, استاد معین,۷۰۰۰۰۰۰۰۰۰,۴
46,۱۱۵,۱۴۰۱,۲, شهرک نفت (منطقه ۵),۱۴۹۰۰۰۰۰۰۰۰,0
47,۱۰۰,۱۴۰۱,۲, چیتگر,۱۷۵۰۰۰۰۰۰۰,۲۰ 
48,۱۶۴,۱۳۸۶,۳, سعادت‌آباد,۲۲۰۰۰۰۰۰۰۰۰,۳
49,۱۱۴,۱۳۸۳,۲, سعادت‌آباد,۱۲۳۰۰۰۰۰۰۰۰,۱
50,۶۰,۱۴۰۱,۱, گیشا (کوی نصر),۱۲۰۰۰۰۰۰۰۰۰,۴
51,۱۴۶,۱۳۹۰,۳, شهران جنوبی,۱۶۵۰۰۰۰۰۰۰۰,۵
52,۱۰۳,۱۴۰۱,۲, حسین‌آباد,۱۲۸۹۰۰۰۰۰۰۰,۴
53,۱۳۲,۱۴۰۱,۳, چیتگر,۱۴۵۰۰۰۰۰۰۰۰,۱۶
54,۱۱۵,۱۳۹۶,۲, سعادت‌آباد,۲۸۲۵۰۰۰۰۰۰۰,۴
55,۹۵,۱۳۹۹,۲, شوش,۳۶۰۰۰۰۰۰۰۰,0
56,۱۴۰,۱۴۰۱,۳, گیشا (کوی نصر),۲۲۵۰۰۰۰۰۰۰۰,۳
57,۴۷,۱۳۸۰,۱, سلسبیل,۲۴۰۰۰۰۰۰۰۰,۳ 
58,۲۷۰,۱۳۹۵,۴, فرمانیه,۴۰۰۰۰۰۰۰۰۰۰,۵ 
59,۱۴۶,1370,۳, اکباتان,۱۳۵۰۰۰۰۰۰۰۰,۳۰
60,۸۴,۱۴۰۱,۲, استاد معین,۵۲۰۰۰۰۰۰۰۰,۲
61,۱۳۵,۱۴۰۲,۳, چیتگر,۵۶۷۰۰۰۰۰۰۰,۳۰
62,۵۳,۱۳۸۲,۱, جیحون,۲۷۴۵۰۰۰۰۰۰,۱
63,۳۳۰,۱۴۰۱,۴, اقدسیه,۶۵۰۰۰۰۰۰۰۰۰,۲ 
64,۹۰,۱۳۹۸,۲, پونک,۹۵۴۰۰۰۰۰۰۰,۳
65,۱۲۰,۱۳۸۴,۳, پاسداران,۱۵۰۰۰۰۰۰۰۰۰,۳ 
66,۶۲,۱۳۹۲,۱, شهرک آزادی,۴۶۵۰۰۰۰۰۰۰,۱
67,۵۸,۱۳۹۰,۱, اسکندری,۳۲۰۰۰۰۰۰۰۰,0
68,۵۵,۱۳۹۵,۱, سلیمانی,۳۰۵۰۰۰۰۰۰۰,۳
69,۶۰,۱۳۹۸,۱, سعادت‌آباد,۱۱۹۰۰۰۰۰۰۰۰,۱
70,۱۵۶,۱۴۰۲,۳, کوی فردوس,۱۷۰۰۰۰۰۰۰۰۰,۳
71,۷۵,۱۴۰۲,۲, استاد معین,۵۳۵۰۰۰۰۰۰۰,۲
72,۶۳,۱۳۷۷,۱, جیحون,۳۵۰۰۰۰۰۰۰۰,0
73,۷۰,۱۳۷۵,۲, سبلان,۲۶۹۰۰۰۰۰۰۰,0
